id,age,start_age,r_date,t_date,dur,raid_v_name,raid_v_add,raid_v_area,raid_v_crd,native_v_name,native_v_add,native_v_area,native_v_crd,indst,income,wage_week,wage_type,paypar,paramt,brought,sisters,brothers,school,class
CH000001,18,0,18/01/2005,,-1,Paklor & Belari,"Behat, Saharanpur, UP, IND","Allahabad, Uttar Pradesh, India","77.49707, 30.15363",Aakabaka,,"Palamu, Jharkhand, India",,Carpet Industry,-1,-1,u,no,,,-1,-1,,0
CH000002,13,0,18/01/2005,,-1,Paklor & Belari,"Behat, Saharanpur, UP, IND","Allahabad, Uttar Pradesh, India","77.49707, 30.15363",Churwahi,"Kodarma, Kodarma, JH, IND","Palamu, Jharkhand, India","85.46406, 24.44204",Carpet Industry,-1,-1,u,no,,,-1,-1,,0
CH000003,15,0,18/01/2005,,-1,Paklor & Belari,"Behat, Saharanpur, UP, IND","Allahabad, Uttar Pradesh, India","77.49707, 30.15363",Ithku,,"Palamu, Jharkhand, India",,Carpet Industry,-1,-1,u,no,,,-1,-1,,0
CH000004,15,0,18/01/2005,,-1,Paklor & Belari,"Behat, Saharanpur, UP, IND","Allahabad, Uttar Pradesh, India","77.49707, 30.15363",Ithku,,"Palamu, Jharkhand, India",,Carpet Industry,-1,-1,u,no,,,-1,-1,,0
CH000005,13,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Mohiuddinpur,"Warisnagar, Samastipur, BR, IND","Samastipur, Bihar, India","85.83048, 25.88659",,-1,-1,u,no,,,-1,-1,,0
CH000006,14,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Barhatta,"Kishanpur, Supaul, BR, IND","Samastipur, Bihar, India","86.77189, 26.22229",,-1,-1,u,no,,,-1,-1,,0
CH000007,12,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477","Kabahi,Paschim Tola",,"Vaishali, Bihar, India",,,-1,-1,u,no,,,-1,-1,,0
CH000008,15,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477","Kabahi,Paschim Tola",,"Vaishali, Bihar, India",,,-1,-1,u,no,,,-1,-1,,0
CH000009,12,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Habibpur,"Barharia, Siwan, BR, IND","Vaishali, Bihar, India","84.47387, 26.28001",,-1,-1,u,no,,,-1,-1,,0
CH000010,13,0,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","South East Delhi, Delhi, India","77.29931, 28.54477",Jandaha,"Jandaha, Vaishali, BR, IND","Vaishali, Bihar, India","85.49744, 25.74137",,-1,-1,u,no,,,-1,-1,,0
