id,age,r_date,t_date,dur,raid_v_name,raid_v_add,raid_v_crd,native_v_name,native_v_add,native_v_crd,indst,paypar,paramt,brought
CH000001,18,18/01/2005,,-1,Paklor & Belari,"Behat, Saharanpur, UP, IND","77.49707, 30.15363",Aakabaka,,,Carpet Industry,no,,
CH000002,13,18/01/2005,,-1,Paklor & Belari,"Behat, Saharanpur, UP, IND","77.49707, 30.15363",Churwahi,"Kodarma, Kodarma, JH, IND","85.46406, 24.44204",Carpet Industry,no,,
CH000003,15,18/01/2005,,-1,Paklor & Belari,"Behat, Saharanpur, UP, IND","77.49707, 30.15363",Ithku,,,Carpet Industry,no,,
CH000004,15,18/01/2005,,-1,Paklor & Belari,"Behat, Saharanpur, UP, IND","77.49707, 30.15363",Ithku,,,Carpet Industry,no,,
CH000005,13,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Mohiuddinpur,"Warisnagar, Samastipur, BR, IND","85.83048, 25.88659",,no,,
CH000006,14,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Barhatta,"Kishanpur, Supaul, BR, IND","86.77189, 26.22229",,no,,
CH000007,12,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477","Kabahi,Paschim Tola",,,,no,,
CH000008,15,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477","Kabahi,Paschim Tola",,,,no,,
CH000009,12,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Habibpur,"Barharia, Siwan, BR, IND","84.47387, 26.28001",,no,,
CH000010,13,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Jandaha,"Jandaha, Vaishali, BR, IND","85.49744, 25.74137",,no,,
CH000011,15,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Habibpur,"Barharia, Siwan, BR, IND","84.47387, 26.28001",,no,,
CH000012,10,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Damdari,"Dandari, Begusarai, BR, IND","86.30043, 25.47375",,no,,
CH000013,9,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Goa,,,,no,,
CH000014,13,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Chuniya,,,,no,,
CH000015,11,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Kafin Bhar,"Piro, Bhojapur, BR, IND","84.40226, 25.37006",,no,,
CH000016,12,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Jhakre Jal,"Piprakothi, Purba Champaran, BR, IND","84.95985, 26.56652",,no,,
CH000017,13,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Sumera,"Kurhani, Muzaffarpur, BR, IND","85.32699, 26.07567",,no,,
CH000018,12,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Karti Musa,"Bhabua, Kaimur (Bhabua), BR, IND","83.63332, 25.08562",,no,,
CH000019,12,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Sumera,"Kurhani, Muzaffarpur, BR, IND","85.32699, 26.07567",,no,,
CH000020,15,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Bariyapur,"Motihari, Purba Champaran, BR, IND","84.92186, 26.63774",,no,,
CH000021,16,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Ladora,,,,no,,
CH000022,12,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Tihari,"Tekari, Gaya, BR, IND","84.82946, 24.93474",,no,,
CH000023,13,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Mandau,"Gaya Sub-District, Gaya, BR, IND","85.03218, 24.89833",,no,,
CH000024,15,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Gamosaro,,,,no,,
CH000025,13,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Damdari,"Dandari, Begusarai, BR, IND","86.30043, 25.47375",,no,,
CH000026,16,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Akabarpur,"Akabarapur, Navada, BR, IND","85.55308, 24.74795",,no,,
CH000027,12,06/04/2005,,-1,Shaheen Bagh,"Delhi, South, DL, IND","77.29931, 28.54477",Khanpur Berai,"Shahkund, Bhagalpur, BR, IND","86.84641, 25.12877",,no,,
